symbol,name,sector
AAPL,Apple,Information Technology
MSFT,Microsoft,Information Technology
NVDA,NVIDIA,Information Technology
AVGO,Broadcom,Information Technology
ORCL,Oracle,Information Technology
CRM,Salesforce,Information Technology
ADBE,Adobe,Information Technology
AMD,Advanced Micro Devices,Information Technology
ACN,Accenture,Information Technology
CSCO,Cisco Systems,Information Technology
IBM,IBM,Information Technology
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
NOW,ServiceNow,Information Technology
QCOM,Qualcomm,Information Technology
TXN,Texas Instruments,Information Technology
AMAT,Applied Materials,Information Technology
MU,Micron Technology,Information Technology
ADI,Analog Devices,Information Technology
LRCX,Lam Research,Information Technology
KLAC,KLA,Information Technology
SNPS,Synopsys,Information Technology
CDNS,Cadence Design Systems,Information Technology
PANW,Palo Alto Networks,Information Technology
CRWD,CrowdStrike,Information Technology
ANET,Arista Networks,Information Technology
APH,Amphenol,Information Technology
MSI,Motorola Solutions,Information Technology
GLW,Corning,Information Technology
HPQ,HP,Information Technology
HPE,Hewlett Packard Enterprise,Information Technology
DELL,Dell Technologies,Information Technology
NTAP,NetApp,Information Technology
STX,Seagate Technology,Information Technology
WDC,Western Digital,Information Technology
SMCI,Super Micro Computer,Information Technology
MPWR,Monolithic Power Systems,Information Technology
ON,ON Semiconductor,Information Technology
MCHP,Microchip Technology,Information Technology
SWKS,Skyworks Solutions,Information Technology
NXPI,NXP Semiconductors,Information Technology
TER,Teradyne,Information Technology
ZBRA,Zebra Technologies,Information Technology
KEYS,Keysight Technologies,Information Technology
GDDY,GoDaddy,Information Technology
AKAM,Akamai Technologies,Information Technology
FFIV,F5,Information Technology
EPAM,EPAM Systems,Information Technology
PTC,PTC,Information Technology
TYL,Tyler Technologies,Information Technology
CDW,CDW,Information Technology
WDAY,Workday,Information Technology
ADSK,Autodesk,Information Technology
ROP,Roper Technologies,Information Technology
FTNT,Fortinet,Information Technology
GEN,Gen Digital,Information Technology
VRSN,VeriSign,Information Technology
JBL,Jabil,Information Technology
FSLR,First Solar,Information Technology
ENPH,Enphase Energy,Information Technology
TDY,Teledyne Technologies,Information Technology
TRMB,Trimble,Information Technology
CTSH,Cognizant,Information Technology
IT,Gartner,Information Technology
PLTR,Palantir Technologies,Information Technology
DDOG,Datadog,Information Technology
APP,AppLovin,Information Technology
GOOGL,Alphabet Class A,Communication Services
GOOG,Alphabet Class C,Communication Services
META,Meta Platforms,Communication Services
NFLX,Netflix,Communication Services
DIS,Walt Disney,Communication Services
CMCSA,Comcast,Communication Services
T,AT&T,Communication Services
VZ,Verizon Communications,Communication Services
TMUS,T-Mobile US,Communication Services
CHTR,Charter Communications,Communication Services
EA,Electronic Arts,Communication Services
TTWO,Take-Two Interactive,Communication Services
OMC,Omnicom Group,Communication Services
IPG,Interpublic Group,Communication Services
WBD,Warner Bros Discovery,Communication Services
FOXA,Fox Class A,Communication Services
FOX,Fox Class B,Communication Services
NWSA,News Corp Class A,Communication Services
NWS,News Corp Class B,Communication Services
MTCH,Match Group,Communication Services
LYV,Live Nation Entertainment,Communication Services
TKO,TKO Group Holdings,Communication Services
BRK-B,Berkshire Hathaway Class B,Financials
JPM,JPMorgan Chase,Financials
V,Visa,Financials
MA,Mastercard,Financials
BAC,Bank of America,Financials
WFC,Wells Fargo,Financials
GS,Goldman Sachs,Financials
MS,Morgan Stanley,Financials
SPGI,S&P Global,Financials
AXP,American Express,Financials
BLK,BlackRock,Financials
C,Citigroup,Financials
SCHW,Charles Schwab,Financials
CB,Chubb,Financials
MMC,Marsh & McLennan,Financials
PGR,Progressive,Financials
ICE,Intercontinental Exchange,Financials
CME,CME Group,Financials
AON,Aon,Financials
USB,US Bancorp,Financials
PNC,PNC Financial Services,Financials
TFC,Truist Financial,Financials
COF,Capital One,Financials
MET,MetLife,Financials
AIG,American International Group,Financials
PRU,Prudential Financial,Financials
AFL,Aflac,Financials
ALL,Allstate,Financials
TRV,Travelers,Financials
AJG,Arthur J Gallagher,Financials
MSCI,MSCI,Financials
BK,BNY,Financials
STT,State Street,Financials
NTRS,Northern Trust,Financials
SYF,Synchrony Financial,Financials
FITB,Fifth Third Bancorp,Financials
MTB,M&T Bank,Financials
HBAN,Huntington Bancshares,Financials
RF,Regions Financial,Financials
KEY,KeyCorp,Financials
CFG,Citizens Financial Group,Financials
WTW,Willis Towers Watson,Financials
BRO,Brown & Brown,Financials
CINF,Cincinnati Financial,Financials
L,Loews,Financials
GL,Globe Life,Financials
AIZ,Assurant,Financials
RJF,Raymond James Financial,Financials
IVZ,Invesco,Financials
BEN,Franklin Resources,Financials
TROW,T Rowe Price,Financials
NDAQ,Nasdaq,Financials
CBOE,Cboe Global Markets,Financials
MKTX,MarketAxess,Financials
FDS,FactSet,Financials
MCO,Moodys,Financials
PYPL,PayPal,Financials
FIS,Fidelity National Information Services,Financials
FI,Fiserv,Financials
GPN,Global Payments,Financials
JKHY,Jack Henry & Associates,Financials
ACGL,Arch Capital Group,Financials
EG,Everest Group,Financials
WRB,W R Berkley,Financials
HIG,Hartford,Financials
PFG,Principal Financial Group,Financials
AMP,Ameriprise Financial,Financials
ERIE,Erie Indemnity,Financials
KKR,KKR,Financials
BX,Blackstone,Financials
APO,Apollo Global Management,Financials
COIN,Coinbase,Financials
HOOD,Robinhood Markets,Financials
CPAY,Corpay,Financials
LLY,Eli Lilly,Health Care
UNH,UnitedHealth Group,Health Care
JNJ,Johnson & Johnson,Health Care
ABBV,AbbVie,Health Care
MRK,Merck,Health Care
TMO,Thermo Fisher Scientific,Health Care
ABT,Abbott Laboratories,Health Care
DHR,Danaher,Health Care
PFE,Pfizer,Health Care
AMGN,Amgen,Health Care
ISRG,Intuitive Surgical,Health Care
ELV,Elevance Health,Health Care
VRTX,Vertex Pharmaceuticals,Health Care
SYK,Stryker,Health Care
BSX,Boston Scientific,Health Care
MDT,Medtronic,Health Care
GILD,Gilead Sciences,Health Care
CI,Cigna Group,Health Care
CVS,CVS Health,Health Care
REGN,Regeneron Pharmaceuticals,Health Care
ZTS,Zoetis,Health Care
BDX,Becton Dickinson,Health Care
HCA,HCA Healthcare,Health Care
MCK,McKesson,Health Care
COR,Cencora,Health Care
CAH,Cardinal Health,Health Care
HUM,Humana,Health Care
CNC,Centene,Health Care
MOH,Molina Healthcare,Health Care
IQV,IQVIA,Health Care
A,Agilent Technologies,Health Care
IDXX,IDEXX Laboratories,Health Care
RMD,ResMed,Health Care
EW,Edwards Lifesciences,Health Care
DXCM,Dexcom,Health Care
BIIB,Biogen,Health Care
MRNA,Moderna,Health Care
ILMN,Illumina,Health Care
WAT,Waters,Health Care
MTD,Mettler-Toledo,Health Care
STE,Steris,Health Care
BAX,Baxter International,Health Care
ZBH,Zimmer Biomet,Health Care
HOLX,Hologic,Health Care
PODD,Insulet,Health Care
ALGN,Align Technology,Health Care
COO,Cooper Companies,Health Care
LH,Labcorp,Health Care
DGX,Quest Diagnostics,Health Care
WST,West Pharmaceutical Services,Health Care
TFX,Teleflex,Health Care
RVTY,Revvity,Health Care
CRL,Charles River Laboratories,Health Care
TECH,Bio-Techne,Health Care
VTRS,Viatris,Health Care
DVA,DaVita,Health Care
